 ,Area,Mean,Min,Max,Angle,Length
95,9.933,1182.617,+AC0-4712.281,7404.05,5.194,10.312
96,18.211,13868.961,1200.601,22151.896,+AC0-146.31,18.884
97,12.416,10746.154,+AC0-7554.628,24123.676,+AC0-68.962,12.761
98,11.589,16814.742,2309.753,28750.439,+AC0-45,11.711
99,8.278,17633.711,5665.5,25110.193,45,8.58
100,11.589,12566.793,202.658,22052.828,+AC0-57.529,11.608
101,10.761,14741.249,365.055,21080.877,37.875,10.647
102,11.589,10584.057,+AC0-2260.752,21353.002,+AC0-57.529,11.566
103,9.933,10487.645,100.063,19726.053,33.69,9.644
104,9.105,4324.308,+AC0-344.375,9610.787,+AC0-78.69,8.657
105,8.278,3364.476,+AC0-2539.281,9757.863,0,8.532
106,14.072,10678.051,+AC0-1066.25,16601.684,+AC0-86.424,14.724
107,14.072,9766.008,+AC0-1466.875,16149.738,7.125,14.958
108,9.933,6159.112,506,10306.184,+AC0-79.695,9.858
109,9.105,6527.137,413.172,10852.443,11.31,9.467
110,8.278,5633.618,+AC0-102.51,9597.658,+AC0-75.964,7.837
111,7.45,5497.028,683.073,9969.656,7.125,7.007
112,7.45,3280.776,+AC0-1486.206,8839.194,+AC0-90,6.824
113,6.622,3633.245,+AC0-2520.145,8763.06,9.462,6.104
114,8.278,4239.141,+AC0-2550.883,10408.865,+AC0-83.66,7.955
115,6.622,6994.721,2256,10525.634,8.13,6.008
116,7.45,137.508,+AC0-7186.753,5902.944,+AC0-90,7.588
117,7.45,49.39,+AC0-6632.205,6900.607,0,7.355
118,9.105,7855.759,+AC0-2135.529,15145.725,+AC0-78.69,8.791
119,7.45,9075.858,786.642,15619.989,15.945,7.361
120,16.555,12891.077,3732.343,22424.805,+AC0-90,16.986
121,12.416,14829.424,1462,22338.412,4.086,13.166
122,7.45,5432.274,+AC0-5879.301,12755.882,+AC0-82.875,7.228
123,5.794,7345.101,3854.483,10962.565,18.435,5.812
124,6.622,+AC0-764.429,+AC0-6176,4086.643,+AC0-81.87,6.612
125,5.794,+AC0-251.833,+AC0-5081.576,3895.832,30.964,5.296
126,8.278,10049.851,+AC0-76.93,15160.564,+AC0-96.34,8.439
127,8.278,9317.676,3882,13688.013,+AC0-172.875,7.839
128,10.761,12478.917,+AC0-142.017,19895.871,+AC0-85.236,11.136
129,10.761,11691.634,1621,21514.877,180,10.717
130,9.105,4905.207,+AC0-7251.125,15211.486,+AC0-90,9.109
131,14.072,6112.009,+AC0-3298.232,14844.699,0,14.788
132,6.622,6259.86,+AC0-864.688,12238.384,+AC0-98.13,6.04
133,9.105,6915.737,+AC0-992.82,12817.22,161.565,8.652
134,9.933,8376.606,1296.375,15349.292,+AC0-84.289,9.583
135,8.278,9208.771,1161.887,15562.595,180,8.346
136,13.244,7762.458,+AC0-1392.5,14506.833,+AC0-101.31,13.875
137,12.416,6963.266,+AC0-3504.438,13063.388,164.055,13.028
138,6.622,9393.756,2612.109,14280.812,+AC0-81.87,5.988
139,8.278,9639.292,4107.395,14386.544,174.289,8.387
140,7.45,6991.86,+AC0-810.203,12493.664,+AC0-35.538,7.327
141,6.622,9196.557,5667.531,13130.812,+AC0-123.69,6.466
142,5.794,1415.97,+AC0-2555.266,4180.246,+AC0-99.462,5.621
143,5.794,2399.721,+AC0-699.336,4487.092,+AC0-9.462,5.545
144,6.622,+AC0-148.332,+AC0-6665.688,4428.203,+AC0-90,6.032
145,6.622,141.575,+AC0-5434.5,4752.992,+AC0-8.13,5.975
146,9.105,15920.798,3221.281,25892.75,+AC0-90,9.099
147,9.105,15882.142,3214,26363.348,6.34,8.991
148,9.933,14732.147,8015.25,20377.188,+AC0-95.194,9.699
149,9.105,14363.351,6970.25,19423.697,5.711,9.02
150,9.933,15907.069,587.333,25198.363,+AC0-105.255,10.231
151,9.933,12358.512,+AC0-1552.222,21294.033,153.435,10.045
152,10.761,14303.44,5954.111,18500,+AC0-94.764,10.956
153,10.761,13763.606,2641.444,22990.963,+AC0-5.194,10.632
154,13.244,11098.31,+AC0-10095.333,21080,+AC0-109.654,13.525
155,12.416,12877.812,+AC0-5187.333,21351.389,+AC0-17.103,12.665
156,9.105,16393.318,2977,25304.5,+AC0-84.289,9.143
157,8.278,19165.42,6697,26746.494,+AC0-172.875,7.978
158,9.105,15611.033,8141,21463.334,+AC0-95.711,9.143
159,8.278,16753.491,5453,21329.777,+AC0-14.036,7.797
160,10.761,9377.073,2780.222,13911.111,+AC0-120.964,10.769
161,9.105,9016.967,+AC0-4949.333,15050.547,+AC0-23.962,8.684
162,9.933,8224.894,+AC0-5891.667,19854.562,+AC0-74.745,10.003
163,9.105,11964.389,+AC0-8444.667,21130.613,+AC0-161.565,9.209
